100; 1543
200; 3487
300; 5575
400; 7775
500; 9975
600; 12351
700; 14751
800; 17151
900; 19551
1000; 21951
2000; 47903
3000; 75807
4000; 103807
5000; 133615
6000; 163615
7000; 193615
8000; 223615
9000; 255231
10000; 287231
