100; 7297
200; 30062
300; 67991
400; 121528
500; 190078
600; 263422
700; 369195
800; 476477
900; 602602
1000; 747581
2000; 2953384
3000; 6799454
4000; 11898135
5000; 18726505
6000; 26772093
7000; 36592203
8000; 47644622
9000; 60717472
10000; 75119528
